Country	Life expectancy	Logpop	LogBirth	Sqrt.Obese%	Education($%GDP)	LGdp/cap	LogImp/c	LogExp/c	Sqrt.Airp/c	Cell/cap	LogHIV	Birthrate	population	Obesity%	GDP/cap	Imp/cap	Exp/cap	Airp/cap	Imports	Exports	Airports	Cell phones
Sierra Leone	57.39	6.7591936	1.5728716	2.607681	2.9	3.146128	2.454855	2.4347653	0.0509327	0.38476772	0.17609126	37.4	5743725	6.8	1400	285.00668	272.12306	0.00259414	1637000000	1563000000	14900	2210000
United Arab Emirates	77.09	6.7504162	1.191451	5.7183914		4.4756712	4.6468284	4.8164924	0.78277779	2.4472335		15.54	5628805	32.7	29900	44343.338	65537.889	0.61274107	249600000000	368900000000	3449000	13775000
Kyrgyzstan	70.06	6.7485146	1.3679147	3.9370039	6.8	3.39794	2.9575201	2.5258742	0.62583519	1.2133731		23.33	5604212	15.5	2500	906.81794	335.64041	0.39166969	5082000000	1881000000	2195000	6800000
Denmark	79.09	6.7457832	1.0094509	4.2661458	8.7	4.5774918	4.2474325	4.2795226	0.9235389	1.1851156		10.22	5569077	18.2	37800	17677.974	19033.675	0.8529241	98450000000	106000000000	4750000	6600000
Singapore	84.38	6.7456447	0.90848502	2.6645825	3	4.7951846	4.8260641	4.8674568	0.76228047	1.4482781		8.1	5567301	7.1	62400	66998.353	73698.189	0.58107151	373000000000	410300000000	3235000	8063000
Slovakia	76.69	6.7358848	1.0004341	5.0398413	4.2	4.392697	4.155987	4.1816207	0.86393484	1.119667		10.01	5443583	25.4	24700	14321.45	15192.2	0.7463834	77960000000	82700000000	4063000	6095000
Central African Republic	51.35	6.722466	1.5496162	1.8708287	1.2	2.845098	1.6171841	1.4202362	0.06543669	0.20272988	0.67209786	35.45	5277959	3.5	700	41.417525	26.316991	0.00428196	218600000	138900000	22600	1070000
Finland	79.69	6.7217116	1.0149403	4.7958315	6.8	4.5550944	4.1275235	4.1573843	0.91311355	1.7689041		10.35	5268799	23	35900	13412.924	14367.601	0.83377635	70670000000	75700000000	4393000	9320000
Turkmenistan	69.47	6.7136537	1.2891428	3.6331804		3.9867717	3.3825608	3.5201036	0.12468123	0.76431623		19.46	5171943	13.2	9700	2413.0196	3312.1015	0.01554541	12480000000	17130000000	80400	3953000
Norway	81.6	6.711621	1.0824263	4.6368092	6.9	4.7435098	4.2432966	4.4764634	0.92777012	1.1134871		12.09	5147792	21.5	55400	17510.42	29954.59	0.86075739	90140000000	154200000000	4431000	5732000
Georgia	75.72	6.6933646	1.1115985	4.7010637	2	3.7853298	3.1556861	2.724605	0.51320322	0.95200856		12.93	4935880	22.1	6100	1431.1531	530.40187	0.26337755	7064000000	2618000000	1300000	4699000
Ireland	80.56	6.6841957	1.1812718	5.0199602	6.4	4.6159501	4.10475	4.3711826	0.79338095	1.0151539		15.18	4832765	25.2	41300	12727.703	23506.212	0.62945333	61510000000	113600000000	3042000	4906000
Costa Rica	78.23	6.6771719	1.206286	4.8682646	6.3	4.1105897	3.5673526	3.3895267	0.55882687	1.293522		16.08	4755234	23.7	12900	3692.7731	2452.035	0.31228747	17560000000	11660000000	1485000	6151000
"Congo, Republic of the"	58.52	6.6686138	1.5633624	2.1679483	6.2	3.6812412	2.9645515	3.3275475	0.22932601	0.91861654	0.44715803	36.59	4662446	4.7	4800	921.61925	2125.9227	0.05259042	4297000000	9912000000	245200	4283000
Croatia	76.41	6.6503594	0.97726621	4.9193496	4.3	4.25042	3.6869001	3.4416591	0.70690635	1.111724		9.49	4470534	24.2	17800	4862.9537	2764.7704	0.49971659	21740000000	12360000000	2234000	4970000
New Zealand	80.93	6.6436418	1.1271048	5.3197744	7.4	4.4828736	3.9286489	3.9343094	0.87885774	1.1181495		13.4	4401916	28.3	30400	8484.9416	8596.2567	0.77239093	37350000000	37840000000	3400000	4922000
Liberia	58.21	6.6119685	1.5449358	2.1908902	2.8	2.845098	2.7784366	2.356421	0.06990865	0.58499967		35.07	4092310	4.8	700	600.3944	227.20664	0.00488722	2457000000	929800000	20000	2394000
Bosnia and Herzegovina	76.33	6.5878953	0.94890176	5.1478151		3.9190781	3.4249419	3.1669879	0.60604119	0.86526573		8.89	3871643	26.5	8300	2660.3693	1468.8854	0.36728593	10300000000	5687000000	1422000	3350000
Puerto Rico	79.09	6.5588162	1.0374265			4.2121876	4.1162286	4.2847281	0.52552322	0.84509446		10.9	3620897		16300	13068.585	19263.183	0.27617466	47320000000	69750000000	1000000	3060000
Panama	78.3	6.5573184	1.2697464	5.0398413	3.5	4.2174839	3.8677265	3.7184535	0.51574042	1.8761617		18.61	3608431	25.4	16500	7374.3962	5229.4197	0.26598818	26610000000	18870000000	959800	6770000
Moldova	70.12	6.5542817	1.0867157	4.6043458	8.4	3.5797836	3.1855279	2.8257485	0.60992189	1.1386191		12.21	3583288	21.2	3800	1532.9496	669.49684	0.37200471	5493000000	2399000000	1333000	4080000
Mauritania	62.28	6.5461484	1.5028366	3.5637059	3.7	3.3424227	2.9795441	2.889696	0.14603482	1.1442201		31.83	3516806	12.7	2200	953.99064	775.70386	0.02132617	3355000000	2728000000	75000	4024000
Lithuania	75.98	6.5447795	0.97127585	5.2535702	5.4	4.3541084	3.9673711	3.9380941	0.7484814	1.4262332		9.36	3505738	27.6	22600	9276.2209	8671.498	0.56022441	32520000000	30400000000	1964000	5000000
Uruguay	76.81	6.5228317	1.1199154	4.9799598	4.5	4.2201081	3.5740783	3.4983576	0.64926551	1.5001626		13.18	3332972	24.8	16600	3750.4065	3150.3415	0.4215457	12500000000	10500000000	1405000	5000000
Oman	74.97	6.5078255	1.388634	4.5716518	4.3	4.4742163	3.9800196	4.2420653	0.67453743	1.639245		24.47	3219775	20.9	29800	9550.3568	17460.847	0.45500074	30750000000	56220000000	1465000	5278000
Armenia	74.12	6.485811	1.1436392	4.8989795	3.3	3.7993405	3.0531396	2.7324619	0.26081639	1.0530508		13.92	3060631	24	6300	1130.1591	540.08471	0.06802519	3459000000	1653000000	208200	3223000
Albania	77.96	6.480037	1.1048284	4.6151923	3.3	4.0293838	3.2043595	2.8860122	0.65607453	1.1588602		12.73	3020209	21.3	10700	1600.8826	769.15207	0.43043379	4835000000	2323000000	1300000	3500000
Mongolia	68.98	6.4702914	1.3197305	3.7947332	5.5	3.770852	3.2852786	3.1625706	0.33428068	1.142832		20.88	2953190	14.4	5900	1928.7618	1454.0209	0.11174357	5696000000	4294000000	330000	3375000
Jamaica	73.48	6.466875	1.2650538	4.9091751	6.1	3.9542425	3.2781216	2.7823233	0.73456194	0.90954079	0.23044892	18.41	2930050	24.1	9000	1897.2372	605.79171	0.53958124	5559000000	1775000000	1581000	2665000
Kuwait	77.64	6.43818	1.3066394	6.4807407	3.8	4.6242821	3.9495656	4.611038	0.63329538	2.0147949		20.26	2742711	42	42100	8903.5994	40835.509	0.40106304	24420000000	112000000000	1100000	5526000
West Bank	75.69	6.43633	1.3694014			3.462398	3.3019748	2.3872095	0.71058682	1.1134903		23.41	2731052		2900	2004.3558	243.89869	0.50493363	5474000000	666100000	1379000	3041000
Namibia	51.85	6.3421079	1.307068	3.082207	8.4	3.9138139	3.5081706	3.3675012	0.24082477	1.1076207	1.1238516	20.28	2198406	9.5	8200	3222.3347	2330.7797	0.05799657	7084000000	5124000000	127500	2435000
Latvia	73.44	6.335491	0.99078269	4.98999	5	4.2810334	3.8565186	3.7672856	0.83344783	1.0668933		9.79	2165165	24.9	19100	7186.5193	5851.748	0.69463528	15560000000	12670000000	1504000	2310000
Botswana	54.06	6.3336052	1.3291944	3.3466401	9.5	4.2148438	3.5349804	3.5454333	0.23593262	1.4296423	1.3617278	21.34	2155784	11.2	16400	3427.5234	3511.0197	0.0556642	7389000000	7569000000	120000	3082000
Qatar	78.38	6.3269827	0.99782308	5.7619441	2.5	5.0090257	4.2704931	3.776821	0.51531309	1.2245898		9.95	2123160	33.2	102100	18642.024	5981.65	0.26554758	39580000000	12700000000	563800	2600000
Macedonia	75.8	6.3205033	1.065953	4.5934736		4.0334238	3.4990406	3.3096193	0.71086286	1.0684992		11.64	2091719	21.1	10800	3155.2995	2039.949	0.505326	6600000000	4267000000	1057000	2235000
Slovenia	77.83	6.2984802	0.93145787	5.3478968	5.7	4.4377506	4.1711946	4.1598555	0.80797377	1.1296128		8.54	1988292	28.6	27400	14831.826	14449.588	0.65282162	29490000000	28730000000	1298000	2246000
Lesotho	52.65	6.288251	1.413635	3.8209946	13	3.3424227	3.0437833	2.6854309	0.19886352	0.67558939	1.363612	25.92	1942008	14.6	2200	1106.0717	484.653	0.0395467	2148000000	941200000	76800	1312000
"Gambia, The"	64.36	6.2845496	1.5017437	2.8106939	4.1	3.30103	2.2713908	1.7692968	0.25993445	0.79251031	0.11394335	31.75	1925527	7.9	2000	186.806	58.7891	0.06756592	359700000	113200000	130100	1526000
Kosovo		6.2693268			4.3	3.8808136	3.2618966	2.3413333		0.30228006			1859203		7600	1827.6649	219.44887		3398000000	408000000		562000
Gaza Strip	74.64	6.2592065	1.5078559						0.87132244	1.6742101		32.2	1816379					0.75920279			1379000	3041000
Guinea-Bissau	49.87	6.228759	1.529302	2.2135944		3.0791812	2.0859507	1.9403273	0.14801557	0.64958149	0.59106461	33.83	1693398	4.9	1200	121.88511	87.162026	0.02190861	206400000	147600000	37100	1100000
Gabon	52.06	6.2233913	1.5395779	3.7282704		4.2833012	3.371443	3.7668143	0.24304284	1.7517669	0.60205999	34.64	1672597	13.9	19200	2352.031	5845.4009	0.05906982	3934000000	9777000000	98800	2930000
Swaziland	50.54	6.152173	1.4010557	4.4384682	8.3	3.7558749	3.0367555	3.0527605	0.25192767	0.56705196	1.4232459	25.18	1419623	19.7	5700	1088.3171	1129.173	0.06346755	1545000000	1603000000	90100	805000
Mauritius	75.17	6.1242286	1.1290451	4.3011626	3.5	4.2068259	3.5706397	3.3210641	0.46675038	1.1155726	0.07918125	13.46	1331155	18.5	16100	3720.8289	2094.4218	0.21785592	4953000000	2788000000	290000	1485000
Bahrain	78.58	6.1186248	1.1436392	5.7358522	2.6	4.4742163	4.0400392	4.1971357	0.56500669	1.6170899		13.92	1314089	32.9	29800	10965.772	15744.748	0.31923256	14410000000	20690000000	419500	2125000
Estonia	74.07	6.0996534	1.0124154	4.5387223	5.7	4.350248	4.1146605	4.0796111	0.8788999	1.6455723	0.07918125	10.29	1257921	20.6	22400	13021.485	12011.883	0.77246504	16380000000	15110000000	971700	2070000
Trinidad and Tobago	72.29	6.0877516	1.1398791	5.4129474	3.2	4.307496	3.8962353	4.0214894	0.69606779	1.5393213	0.20411998	13.8	1223916	29.3	20300	7874.7234	10507.257	0.48451037	9638000000	12860000000	593000	1884000
Timor-Leste	67.39	6.079739	1.5375673	1.6431677	9.4	4.3304138	2.7584803	1.4530154	0.0418061	0.51683587		34.48	1201542	2.7	21400	573.42981	28.380198	0.00174775	689000000	34100000	2100	621000
Cyprus	78.34	6.0690973	1.058426	5.0497525	7.3	4.3891661	3.6073219	3.3147181	0.60833972	0.94672901		11.44	1172458	25.5	24500	4048.7591	2064.0398	0.37007722	4747000000	2420000000	433900	1110000
Fiji	72.15	5.9557873	1.2979792	5.5317267	4.2	3.6901961	3.3568131	3.0553601	0.35558171	0.95083408		19.86	903207	30.6	4900	2274.1188	1135.9522	0.12643835	2054000000	1026000000	114200	858800
Djibouti	62.4	5.908581	1.3816565	3.0659419	8.4	3.4313638	2.8646934	2.0495049	0.17879664	0.25796768	0.07918125	24.08	810179	9.4	2700	732.3073	112.074	0.03196824	593300000	90800000	25900	209000
Comoros	63.48	5.8847189	1.4631461	2.0976177	7.6	3.1139434	2.4350116	1.4097473	0.17800969	0.32600262		29.05	766865	4.4	1300	272.27739	25.689007	0.03168745	208800000	19700000	24300	250000
Guyana	67.81	5.8666146	1.2013971	4.1472883	3.2	3.9294189	3.4428027	3.2595169	0.50770552	0.74365716	0.11394335	15.9	735554	17.2	8500	2772.0602	1817.6776	0.2577649	2039000000	1337000000	189600	547000
Bhutan	68.98	5.8654848	1.2581582	2.3021729	4.7	3.845098	3.2417252	2.9929321	0.26106137	0.76331404		18.12	733643	5.3	7000	1744.7178	983.85727	0.06815304	1280000000	721800000	50000	560000
Equatorial Guinea	63.49	5.85869	1.529302	3.2557641	0.6	4.4099331	4.0412946	4.3299573	0.1412005	0.69366179	0.79239169	33.83	722254	10.6	25700	10997.516	21377.521	0.01993758	7943000000	15440000000	14400	501000
Montenegro		5.8129374	1.024896	4.7434165		4.075547	3.5672738	2.876549	0.65631195	1.7322118		10.59	650036	22.5	11900	3692.1032	752.5737	0.43074537	2400000000	489200000	280000	1126000
Solomon Islands	74.89	5.7852465	1.4204509	5.4772256	7.3	3.5314789	2.8640883	2.9076885	0.12804917	0.49534091		26.33	609883	30	3400	731.2878	808.51573	0.01639659	446000000	493100000	10000	302100
Macau	84.48	5.7693138	0.95327634		2.7	4.9479236	4.2362956	3.2864467	0.67793143	2.7435986		8.98	587914		88700	17230.411	1933.9563	0.45959103	10130000000	1137000000	270200	1613000
Suriname	71.69	5.7583903	1.2234959	5.00999		4.1105897	3.4915415	3.6416294	0.53321047	1.7041361	0.04139269	16.73	573311	25.1	12900	3101.2836	4381.566	0.2843134	1778000000	2512000000	163000	977000
Western Sahara	62.27	5.7441325	1.4872798			3.39794						30.71	554795		2500							
Cabo Verde	71.57	5.7312139	1.3163898	3.1622777	5	3.6434527	3.1698628	2.4726345	0.52776266	0.78973511		20.72	538535	10	4400	1478.6411	296.91663	0.27853343	796300000	159900000	150000	425300
Luxembourg	80.01	5.7165642	1.0700379	5.0990195	3.7	4.8915375	4.6474236	4.4820929	0.90293552	1.4621489		11.75	520672	26	77900	44404.155	30345.4	0.81529255	23120000000	15800000000	424500	761300
Brunei	76.77	5.6260066	1.2427898	2.7386128	3.5	4.7387806	3.8540004	4.4795036	0.86314359	1.1112557		17.49	422675	7.5	54800	7144.9695	30165.02	0.74501686	3020000000	12750000000	314900	469700
Malta	80.11	5.6155871	1.0103	5.3665631	6.9	4.4653829	4.2557523	4.0924086	0.76357949	1.3073875		10.24	412655	28.8	29200	18019.896	12371.109	0.58305364	7436000000	5105000000	240600	539500
Maldives	75.15	5.5950496	1.1928461	3.591657	6.8	3.9590414	3.5529358	2.8567369	0.46852426	1.4227823		15.59	393595	12.9	9100	3572.1999	719.0132	0.21951498	1406000000	283000000	86400	560000
Belize	68.49	5.5325557	1.4003653	5.8051701	6.6	3.9444827	3.4039581	3.2688481	0.32499257	0.48174531	0.14612804	25.14	340844	33.7	8800	2534.884	1857.1546	0.10562017	864000000	633000000	36000	164200
"Bahamas, The"	71.93	5.5076319	1.1945143	5.8906706		4.50515	4.0035828	3.4746393	0.599844	0.78922674	0.51851394	15.65	321834	34.7	32000	10082.838	2982.9042	0.35981282	3245000000	960000000	115800	254000
Iceland	81.22	5.5015399	1.1169396	4.8166378	7.6	4.6095944	4.1541747	4.2144635	0.97486782	1.0902754		13.09	317351	23.2	40700	14261.811	16385.642	0.95036726	4526000000	5200000000	301600	346000
Barbados	74.99	5.4619185	1.0780942	5.8906706	5.6	4.3996737	3.7618369	3.5596842	0.80560039	1.1978735		11.97	289680	34.7	25100	5778.7904	3628.1414	0.64899199	1674000000	1051000000	188000	347000
French Polynesia	76.79	5.4471984	1.1894903			4.3424227	3.8952243	2.8538316	0.65462328	0.80706792		15.47	280026		22000	7856.4133	714.21939	0.42853164	2200000000	200000000	120000	226000
New Caledonia	77.31	5.4278754	1.1922886			4.5763414	4.0833393	3.6930274	0.5633415	0.8624552		15.57	267840		37700	12115.442	4932.049	0.31735364	3245000000	1321000000	85000	231000
Vanuatu	72.72	5.4264088	1.4097641	5.2440442	5	3.6812412	3.0779261	2.2080685	0.25235974	0.51322971		25.69	266937	27.5	4800	1196.537	161.46132	0.06368544	319400000	43100000	17000	137000
Samoa	73.21	5.2936454	1.3281757	7.3552702	5.8	3.7923917	3.2097367	1.7632595	0.21394324	0.85135383		21.29	196628	54.1	6200	1620.8271	57.977501	0.04577171	318700000	11400000	9000	167400
Sao Tome and Principe	64.22	5.2797308	1.5455545	3.082207	9.5	3.3424227	2.7725783	1.8030546	0.37444689	0.64066209		35.12	190428	9.5	2200	592.34986	63.541076	0.14021047	112800000	12100000	26700	122000
Saint Lucia	77.41	5.213151	1.1442628	4.6260134	4.1	4.1172713	3.5596839	3.1023995	0.93527773	1.389552		13.94	163362	21.4	13100	3628.1387	1265.9003	0.87474443	592700000	206800000	142900	227000
Guam	78.82	5.2068286	1.2307043			4.4578819	3.7478962	2.4366241	0.74766486	0.60869187		17.01	161001		28700	5596.2385	273.29023	0.55900274	901000000	44000000	90000	98000
Curacao		5.1668325				4.1760913	3.9420706	4.0391833					146836		15000	8751.2599	10944.183		1285000000	1607000000		
Aruba	76.35	5.0440024	1.1020905		6	4.4031205	4.4559594	4.3027416	0.46569804	1.2199199		12.65	110663		25300	28573.236	20078.979	0.21687466	3162000000	2222000000	24000	135000
Grenada	73.8	5.0419924	1.2121876	4.7434165	3.9	4.1398791	3.4307641	2.5654626	0.47640226	1.1620306		16.3	110152	22.5	13800	2696.2742	367.67376	0.22695911	297000000	40500000	25000	128000
Tonga	75.82	5.0271049	1.3719909	7.5894664	3.9	3.9138139	3.0610312	1.9319365	0.28092294	0.526118		23.55	106440	57.6	8200	1150.8831	85.494175	0.0789177	122500000	9100000	8400	56000
"Micronesia, Federated States of"	72.35	5.0239969	1.3215984	6.3718129		3.8633229	3.098874	2.3722024	0.40107538	0.26116331		20.97	105681	40.6	7300	1255.6656	235.61473	0.16086146	132700000	24900000	17000	27600
Kiribati	65.47	5.0190664	1.3394514	6.78233	12	3.80618	2.8845119	1.8301072	0.27322101	0.15312763		21.85	104488	46	6400	766.4995	67.62499	0.07464972	80090000	7066000	7800	16000
Virgin Islands	79.75	5.0177427	1.0207755			4.161368	4.645864	4.6090082	0.53664772	0.77085533		10.49	104170		14500	44244.984	40645.099	0.28799078	4609000000	4234000000	30000	80300
Saint Vincent and the Grenadines	74.86	5.0124913	1.1414498	4.8373546	5.1	4.0827854	3.466796	2.6474249	0.85933228	1.3165821		13.85	102918	23.4	12100	2929.5167	444.04283	0.73845197	301500000	45700000	76000	135500
Jersey	81.66	4.9845858	1.0663259			4.7558749			0.55286374	1.1190202		11.65	96513		57000			0.30565831			29500	108000
Seychelles	74.25	4.9621325	1.1625644	4.8887626	3.6	4.4132998	3.9654432	3.751106	0.59089288	1.5090016		14.54	91650	23.9	25900	9235.1337	5637.7523	0.34915439	846400000	516700000	32000	138300
Antigua and Barbuda	76.12	4.960447	1.2024883	5.0596443	2.4	4.2648178	3.5720526	2.7799157	0.84378768	1.9694397		15.94	91295	25.6	18400	3732.9536	602.44263	0.71197765	340800000	55000000	65000	179800
Isle of Man	80.98	4.9388498	1.0480532			4.7307823						11.17	86866		53800							
Andorra	82.65	4.9317527	0.92839585	5.0199602		4.5705429	4.2235833	2.9133453	0.88610441	0.76060755		8.48	85458	25.2	37200	16733.366	819.11582	0.78518102	1430000000	70000000	67100	65000
Dominica	76.59	4.8659859	1.1911715	4.98999	3.5	4.155336	3.4756465	2.7403955	0.61742765	1.4881074		15.53	73449	24.9	14300	2989.8297	550.04153	0.3812169	219600000	40400000	28000	109300
Marshall Islands	72.58	4.8511544	1.4209454	6.7379522	12.2	3.9395193	3.2232964	2.84903	0.17604925	0.05353394		26.36	70983	45.4	8700	1672.2314	706.36631	0.03099334	118700000	50140000	2200	3800
Bermuda	81.04	4.844098	1.0549959		2.6	4.9344985	4.1220437	2.2698453	0.87932187	1.3029969		11.35	69839		86000	13244.749	186.14241	0.77320695	925000000	13000000	54000	91000
Guernsey	82.39	4.8185492	0.99519629			4.6493349			0.856444	0.66515816		9.89	65849		44600			0.73349633			48300	43800
Greenland	71.82	4.7613865	1.1622656			4.5843312	4.1493446	3.8232839	0.78969247	1.0299162		14.53	57728		38400	14104.074	6657.0815	0.62361419	814200000	384300000	36000	59455
Cayman Islands	81.02	4.7396831	1.0838608			4.6414741	4.1170458	2.4033317	0.64717597	1.7536512		12.13	54914		43800	13093.2	253.12307	0.41883673	719000000	13900000	23000	96300
American Samoa	74.91	4.7365319	1.3592662	8.6371292		3.90309	3.7531453	3.9124132				22.87	54517	74.6	8000	5664.2882	8173.5972		308800000	445600000		
Saint Kitts and Nevis	75.29	4.7121276	1.1348144	6.3796552	4.2	4.2121876	3.8385899	3.0460271	0.57432891	1.6298653		13.64	51538	40.7	16300	6895.8826	1111.801	0.3298537	355400000	57300000	17000	84000
Northern Mariana Islands	77.64	4.7116638	1.27738			4.1335389	3.6195609	3.2804477				18.94	51483		13600	4164.4815	1907.4258		214400000	98200000		
Faroe Islands	80.11	4.6985094	1.1325798			4.4842998	4.1913523	4.2174178	0.86648476	1.2212946		13.57	49947		30500	15536.469	16497.487	0.75079584	776000000	824000000	37500	61000
Turks and Caicos Islands	79.55	4.6908161	1.2203696			4.463893	4.0809918	2.70311				16.61	49070		29100	12050.132	504.78908		591300000	24770000		
Sint Maarten	77.61	4.5986702	1.1139434			4.1875207						13	39689		15400							
Liechtenstein	81.68	4.5718602	1.0224284		2.1	4.9513375	4.7482861	5.0080377	0.78511601	1.0184118		10.53	37313		89400	56012.65	101867.98	0.61640715	2090000000	3801000000	23000	38000
San Marino	83.18	4.5151052	0.93951925				4.8916053	5.0677532	0.72056284	1.0995052		8.7	32742			77912.162	116883.51	0.5192108	2551000000	3827000000	17000	36000
British Virgin Islands	78.29	4.514282	1.0346285		4.4	4.6263404	3.9770796	2.9006913	0.34985571	1.4902081		10.83	32680		42300	9485.9241	795.59364	0.12239902	310000000	26000000	4000	48700
Saint Martin		4.498724											31530									
Monaco	89.57	4.4844137	0.82736927		1.6	4.9319661	4.5807924	4.5628611	0.86827451	1.0882392		6.72	30508		85500	38088.37	36547.791	0.75390062	1162000000	1115000000	23000	33200
Gibraltar	79.13	4.4651597	1.1507564			4.6334685	5.0071578	3.9678096	0.83194734	1.1906801		14.15	29185		43000	101661.81	9285.5919	0.69213637	2967000000	271000000	20200	34750
Palau	72.6	4.326049	1.0394141	6.9928535	7.3	4.0211893	3.7285641	2.7638561		0.80949684		10.95	21186	48.9	10500	5352.5913	580.57208		113400000	12300000		17150
Anguilla	81.2	4.2064481	1.1031193		2.8	4.0863598	3.9399901	2.8799118	0.47959741	1.6163123		12.68	16086		12200	8709.4368	758.42347	0.23001368	140100000	12200000	3700	26000
Dhekelia		4.1958997											15700									
Akrotiri		4.1958997											15700									
Wallis and Futuna	79.42	4.1920375	1.1322597			3.5797836	3.594501	0.48419872	0.28903666			13.56	15561		3800	3930.9813	3.0492899	0.08354219	61170000	47450	1300	
Tuvalu	65.81	4.0326993	1.3754807			3.544068	3.1847846	1.7454519	0.62412989	0.25969208		23.74	10782		3500	1530.3283	55.648303	0.38953812	16500000	600000	4200	2800
Cook Islands	75.38	4.0057809	1.1673173	7.981228	3.1	3.9590414	3.9158536	2.712056	0.76945845	0.7696862		14.7	10134	63.7	9100	8238.6027	515.29505	0.59206631	83490000	5222000	6000	7800
Nauru	66.4	3.9771747	1.4084096	8.4320816		3.69897		0.8290053		0.71669477		25.61	9488	71.1	5000		6.7453626			64000		6800
"Saint Helena, Ascension, and Tristan da Cunha"	79.21	3.8907563	1.0013009			3.8920946	3.4216327	3.3879973	0.34020691			10.03	7776		7800	2640.1749	2443.4156	0.11574074	20530000	19000000	900	
Saint Barthelemy		3.8613552											7267									
Saint Pierre and Miquelon	80.26	3.7570922	0.88649073			4.5428254	4.2222285	3.0651413				7.7	5716		34900	16681.246	1161.8265		95350000	6641000		
Montserrat	73.9	3.7172543	1.0534626			3.9294189	3.7598669	2.8390482	0.4796931	0.76701822		11.31	5215		8500	5752.6366	690.3164	0.23010547	30000000	3600000	1200	4000
Falkland Islands (Islas Malvinas)		3.4533183				4.7435098	4.5009242	4.6435917	1.0105082	1.2147887			2840		55400	31690.141	44014.085	1.0211268	90000000	125000000	2900	3450
Norfolk Island		3.3443923											2210									
Svalbard		3.2723058											1872									
Christmas Island		3.1846914							0.55069771				1530					0.30326797			464	
Tokelau		3.1261314		7.9624117		3	2.860282		0.77353379				1337	63.4	1000	724.90651	0	0.59835453	969200	0	800	
Niue		3.075547				3.763428	3.8805254	2.2285125	0.9614415				1190		5800	7594.958	169.2437	0.92436975	9038000	201400	1100	